교육과정,세분류,인정시간,학습시간,인정비율,개발연도,개발월,비고
[핵집]빅데이터분석기사(필기)_(NEW)종합반,빅데이터분석기사,37,83,0.445783133,2024,12,민간위탁사이버교육
2025 박문각 주택관리사 - 기본 - 민법,주택관리사,51,56,0.910714286,2025,1,민간위탁사이버교육
2025 박문각 주택관리사 - 기본 - 공동주택 시설개론,주택관리사,42,55,0.763636364,2025,1,민간위탁사이버교육
2025 박문각 주택관리사 - 기본 - 주택관리 관계법규,주택관리사,47,51,0.921568627,2025,1,민간위탁사이버교육
2025 박문각 주택관리사 - 기본 - 회계원리,주택관리사,39,48,0.8125,2025,1,민간위탁사이버교육
[꼭짓점 토익 저자 직강] 2024 토익 최신 기출의 재구성 파트 5+6 PART.1,TOEIC,24,48,0.5,2024,9,민간위탁사이버교육
2025 박문각 주택관리사 - 기본 - 공동주택 관리실무,주택관리사,33,44,0.75,2025,1,민간위탁사이버교육
[꼭짓점 토익 저자 직강] 토익 기출의 재구성 파트 5+6,TOEIC,24,41,0.585365854,2024,1,민간위탁사이버교육
이해하기 쉬운 날씨,소양,20,40,0.5,,,나라배움터
일반기상학,소양,20,40,0.5,,,나라배움터
[꼭짓점 토익 저자 직강] 토익 기출의 재구성 LC,TOEIC,26,40,0.65,2022,7,민간위탁사이버교육
[꼭짓점 토익 저자 직강] 750+ TOEIC RC 중급,TOEIC,22,40,0.55,2024,4,민간위탁사이버교육
[꼭짓점 토익 저자 직강] 600+ TOEIC RC 초급,TOEIC,18,40,0.45,2024,5,민간위탁사이버교육
[꼭짓점 토익 저자 직강] 750+ TOEIC LC 중급,TOEIC,18,40,0.45,2024,1,민간위탁사이버교육
[꼭짓점 토익 저자 직강] 600+ TOEIC LC 초급,TOEIC,16,40,0.4,2024,1,민간위탁사이버교육
(유통관리사 2급) 유통정보(이론+문제풀이)(류하영),유통관리사,21,37,0.567567568,2025,1,민간위탁사이버교육
[핵집]빅데이터분석기사(실기)_(NEW)종합반,빅데이터분석기사,19,36,0.527777778,2024,12,민간위탁사이버교육
2025 EBS 공인중개사 2차 부동산공법 기본이론,공인중개사,32,36,0.888888889,2025,1,민간위탁사이버교육
어휘 속 한 끗 뉘앙스 1,문법(어휘),14,35,0.4,2024,1,민간위탁사이버교육
어휘 속 한 끗 뉘앙스 2,문법(어휘),14,35,0.4,2024,1,민간위탁사이버교육
엄진희 선생님의 기초 일본어 회화,말하기(회화),9,35,0.257142857,2023,4,민간위탁사이버교육
[시원스쿨] 토익스피킹 IM-IH,TOEIC Speaking,9,34,0.264705882,2022,6,민간위탁사이버교육
[시원스쿨] 최신 지텔프 기출 문법 이론강의,G-telp,8,34,0.235294118,2025,1,민간위탁사이버교육
"[비즈니스 영어회화] 누적강의 1,500회 SK, 크래프톤 등 대기업 전담 코치의 직장인 영어",말하기(회화),5,33,0.151515152,2023,6,민간위탁사이버교육
[빨강머리 앤] 명작 원서 읽기로 완성하는 네이티브 성인 영어 플랜 4,읽기(독해),19,32,0.59375,2023,10,민간위탁사이버교육
(유통관리사 2급) 유통물류일반관리(이론+문제풀이)(황사빈),유통관리사,17,32,0.53125,2025,1,민간위탁사이버교육
"영어, 글쓰기와 말하기를 위한 어휘 집중 교실1",어휘(문법),11,32,0.34375,2023,4,민간위탁사이버교육
"영어, 글쓰기와 말하기를 위한 어휘 집중 교실2",어휘(문법),9,32,0.28125,2024,1,민간위탁사이버교육
문학과 예술의 사회사: 선사시대부터 고대 그리스와 로마까지,문학,16,32,0.5,2023,12,민간위탁사이버교육
NEW 노사가 함께 배우는 노동법 이야기(2024),노동,23,32,0.71875,2024,6,민간위탁사이버교육
비전공자도 가능한 자동화 수익 홈페이지 만들기,창업일반,13,31,0.419354839,2023,12,민간위탁사이버교육
[원패스] 직업상담사 2급 필기2(직업정보+고용노동관계법규),직업상담사,17,31,0.548387097,2025,1,민간위탁사이버교육
4차산업&GPT 시대! 새로 배우는 우리회사 정보보호 가이드,정보보호,30,31,0.967741935,2023,9,민간위탁사이버교육
하루 15분 손쉬운 우리말,우리말,5,31,0.161290323,2022,9,민간위탁사이버교육
하루5분! 핫한 중국어 0순위 생생중국어,말하기(회화),4,31,0.129032258,2023,9,민간위탁사이버교육
국가공인 SQL개발자(SQLD)_2과목 Part1 SQL의 이해(윤소영),SQL개발자(SQLD),10,31,0.322580645,2025,2,민간위탁사이버교육
소통과 공감으로 조직을 활성화하라,코칭,13,30,0.433333333,2024,1,민간위탁사이버교육
[온캠] 한번에 끝내는 컴퓨터활용능력 2급 실기 (2024년),컴퓨터활용능력,18,30,0.6,2024,1,민간위탁사이버교육
[빨강머리 앤] 명작 원서 읽기로 완성하는 네이티브 성인 영어 플랜 1,읽기(독해),18,30,0.6,2023,10,민간위탁사이버교육
[빨강머리 앤] 명작 원서 읽기로 완성하는 네이티브 성인 영어 플랜 3,읽기(독해),17,30,0.566666667,2023,10,민간위탁사이버교육
WOW! 위험물산업기사 필기 - 기출문제,위험물산업기사,26,30,0.866666667,2024,5,민간위탁사이버교육
커뮤니케이션 마스터의 세일즈 레시피,영업전략,13,30,0.433333333,2023,10,민간위탁사이버교육
고객만족을 위한 7가지 성공 가이드,영업전략,13,30,0.433333333,2024,10,민간위탁사이버교육
기후변화의 이해,시책,15,30,0.5,,,나라배움터
비대면 시대! 스마트 비즈니스 커뮤니케이션,소통스킬,14,30,0.466666667,2022,8,민간위탁사이버교육
신뢰와 호감을 높이는 온라인 커뮤니케이션 스킬,소통스킬,11,30,0.366666667,2022,11,민간위탁사이버교육
기상관측장비,소양,15,30,0.5,,,나라배움터
대기관측,소양,15,30,0.5,,,나라배움터
대기열역학,소양,15,30,0.5,,,나라배움터
"하루 10분, 직장인 인문학",소양,4,30,0.133333333,,,나라배움터
[온캠] 한번에 끝내는 산림(산업)기사 필기 1과목_조림학,산림기사/산림산업기사,20,30,0.666666667,2024,4,민간위탁사이버교육
"메타버스의 활용, 거울 세계를 가능하게 하는 디지털 트윈",메타버스,12,30,0.4,2023,3,민간위탁사이버교육
조혜숙의 한글로 배우는 중국어 3-1,말하기(회화),9,30,0.3,2022,3,민간위탁사이버교육
조혜숙의 한글로 배우는 중국어 3-2,말하기(회화),9,30,0.3,2022,3,민간위탁사이버교육
[시원스쿨] 진짜학습지 영어 실전회화 2-1,말하기(회화),6,30,0.2,2022,1,민간위탁사이버교육
[시원스쿨] 진짜학습지 영어 실전회화 2-2,말하기(회화),6,30,0.2,2022,1,민간위탁사이버교육
[시원스쿨] 진짜학습지 영어 실전회화 2-3,말하기(회화),6,30,0.2,2022,1,민간위탁사이버교육
Face Talk Talk [페이스 톡톡] 1,말하기(회화),6,30,0.2,2024,1,민간위탁사이버교육
Face Talk Talk [페이스 톡톡] 2,말하기(회화),6,30,0.2,2024,1,민간위탁사이버교육
1일 1문장 중국어 명문장 마스터하기 2,말하기(회화),3,30,0.1,2024,1,민간위탁사이버교육
1일 1문장 중국어 명문장 마스터하기 1,말하기(회화),2,30,0.066666667,2024,1,민간위탁사이버교육
1일 1문장 중국어 명문장 마스터하기 3,말하기(회화),2,30,0.066666667,2024,1,민간위탁사이버교육
고객의 마음을 움직이는 제안전략,마케팅전략,13,30,0.433333333,2023,7,민간위탁사이버교육
기획을 알아야 비즈니스가 된다,기획력,13,30,0.433333333,2023,7,민간위탁사이버교육
탁월한 성과를 이끌어내는 조직 코칭과 리더십 향상,관리자,13,30,0.433333333,2023,9,민간위탁사이버교육
X와 MZ의 비즈니스 커뮤니케이션과 리더십,관계형성,15,30,0.5,2022,10,민간위탁사이버교육
[시원스쿨] 토익스피킹 IH-AL,TOEIC Speaking,9,30,0.3,2022,6,민간위탁사이버교육
[꼭짓점 토익 저자 직강] 토익 기출의 재구성 파트 7,TOEIC,19,30,0.633333333,2022,7,민간위탁사이버교육
점수를 확 올려주는 JPT 급소포인트,JPT,13,30,0.433333333,2022,3,민간위탁사이버교육
평범한 회사와 직장인을 위한 정보 보안 기본서,-,14,30,0.466666667,2022,9,민간위탁사이버교육
최강조직을 위한 직무 프로젝트 실전과정,-,12,30,0.4,2022,10,민간위탁사이버교육
커리어와 리더십을 모두 책임지는 Auto Work 코칭스킬!,코칭,12,29,0.413793103,2024,1,민간위탁사이버교육
[한겨레교육] 이문의 마음을 쓰는 수묵 캘리그라피,캘리그라피,5,29,0.172413793,2022,1,민간위탁사이버교육
예보기초1,직무,14,29,0.482758621,,,나라배움터
[빨강머리 앤] 명작 원서 읽기로 완성하는 네이티브 성인 영어 플랜 2,읽기(독해),16,29,0.551724138,2023,10,민간위탁사이버교육
성과 창출을 이끄는 조직문화 전략,성과창출,14,29,0.482758621,2024,10,민간위탁사이버교육
[시원스쿨] 최신 지텔프 기출 문법 문제풀이,G-telp,6,29,0.206896552,2025,1,민간위탁사이버교육
[HD]No code(노코드)! AppSheet(앱시트)로 코딩없이 전문가 수준 앱 만들기 (중급 활용) Part.1 - Markdown HTML,AppSheet,9,29,0.310344828,2023,8,민간위탁사이버교육
런업! 컴퓨터활용능력 1급 실기 - 1과목 스프레드시트 실무 (2025),컴퓨터활용능력,20,28,0.714285714,2024,11,민간위탁사이버교육
하루에 하나씩 배우는 하루 배움 중국어 3. 표현 편(2),중국어,15,28,0.535714286,2022,12,민간위탁사이버교육
[빨강머리 앤] 명작 원서 읽기로 완성하는 네이티브 성인 영어 플랜 5,읽기(독해),18,28,0.642857143,2023,10,민간위탁사이버교육
[가.인.지] 준비된 채용담당자에게 인재가 찾아옵니다!!!,인사,10,28,0.357142857,2022,11,민간위탁사이버교육
WOW! 위험물산업기사 필기 - 이론,위험물산업기사,25,28,0.892857143,2024,4,민간위탁사이버교육
SMART 산업안전지도사 2차_건설분야 (2025),산업안전지도사,16,28,0.571428571,2025,1,민간위탁사이버교육
[온캠] 한번에 끝내는 산림기사 실기_특강+기출문제해설,산림기사,8,28,0.285714286,2024,4,민간위탁사이버교육
2025 EBS 공인중개사 1차 부동산학개론 기본이론,공인중개사,26,28,0.928571429,2025,1,민간위탁사이버교육
2025 박문각 [공인중개사:2차] 부동산공법 (기초이론),공인중개사,24,28,0.857142857,2025,1,민간위탁사이버교육
[25년 업데이트] 20일 완성 新JLPT 상상 N1(독해),JLPT,13,28,0.464285714,2024,6,민간위탁사이버교육
독공 전산세무2급(필기)(정혜숙),전산세무,12,27,0.444444444,2024,7,민간위탁사이버교육
[온캠] 한번에 끝내는 산림(산업)기사 실기_필답형+작업형,산림기사,14,27,0.518518519,2024,4,민간위탁사이버교육
메타버스 완전정복,메타버스,13,27,0.481481481,2024,8,민간위탁사이버교육
2025 박문각 [공인중개사:1차] 부동산학개론 (기초이론),공인중개사,21,27,0.777777778,2025,1,민간위탁사이버교육
[꼭짓점 토익 저자 직강] 토익 기출의 재구성 파트 5,TOEIC,21,27,0.777777778,2023,1,민간위탁사이버교육
[25년 업데이트] 20일 완성 新JLPT 상상 N1(문자어휘),JLPT,11,27,0.407407407,2024,6,민간위탁사이버교육
[25년 업데이트] 20일 완성 新JLPT 상상 N2(문법),JLPT,9,27,0.333333333,2024,6,민간위탁사이버교육
[HD]No code(노코드)! AppSheet(앱시트)로 코딩없이 전문가 수준 앱 만들기 (입문) Part.4 앱 꾸미기,AppSheet,11,27,0.407407407,2023,6,민간위탁사이버교육
배움과 성장을 더하다. 코칭스킬 UP!,코칭,25,26,0.961538462,2023,9,민간위탁사이버교육
[원패스] 직업상담사 2급 실기(직업상담 실무) (2025),직업상담사,13,26,0.5,2025,1,민간위탁사이버교육
[원패스] 전산회계 2급 종합반 (필기+실기) (2025),전산회계,13,26,0.5,2025,2,민간위탁사이버교육
[재무투자전문가] 재무/자금관리 및 사업타당성분석,재무,14,26,0.538461538,2024,9,민간위탁사이버교육
굿모닝 맨하탄,미국,7,26,0.269230769,2022,11,민간위탁사이버교육
[시원스쿨] 뉴욕 랜선 여행 속에서 배우는 진짜 여행 영어,말하기(회화),4,26,0.153846154,2023,5,민간위탁사이버교육
국가공인 SQL개발자(SQLD)_2과목 Part2 SQL의 활용(윤소영),SQL개발자(SQLD),10,26,0.384615385,2025,2,민간위탁사이버교육
JLPT N1 30일 완성,JLPT,12,26,0.461538462,2023,4,민간위탁사이버교육
[25년 업데이트] 20일 완성 新JLPT 상상 N2(독해),JLPT,12,26,0.461538462,2024,6,민간위탁사이버교육
[25년 업데이트] 20일 완성 新JLPT 상상 N1(문법),JLPT,11,26,0.423076923,2024,6,민간위탁사이버교육
[25년 업데이트] 20일 완성 新JLPT 상상 N2(문자어휘),JLPT,10,26,0.384615385,2024,6,민간위탁사이버교육
[스파르타코딩클럽] GPT 똑똑하게 활용하기_(1),ChatGPT,3,26,0.115384615,2024,4,민간위탁사이버교육
런업! 컴퓨터활용능력 1급 실기 - 2과목 데이터베이스 실무 (2025),컴퓨터활용능력,16,25,0.64,2024,11,민간위탁사이버교육
소방차량 적재장비 사용 및 관리,직무,12,25,0.48,,,나라배움터
서민지의 한풀이 잉글리쉬 1,읽기(독해),10,25,0.4,2022,5,민간위탁사이버교육
서민지의 한풀이 잉글리쉬 2,읽기(독해),10,25,0.4,2022,5,민간위탁사이버교육
서민지의 한풀이 잉글리쉬 시즌2-1,읽기(독해),10,25,0.4,2022,11,민간위탁사이버교육
서민지의 한풀이 잉글리쉬 시즌2-2,읽기(독해),10,25,0.4,2022,11,민간위탁사이버교육
(유통관리사 2급) 상권분석(이론+문제풀이)(류하영),유통관리사,14,25,0.56,2025,1,민간위탁사이버교육
케이티의 한풀이 잉글리쉬 1,어휘(문법),10,25,0.4,2022,5,민간위탁사이버교육
케이티의 한풀이 잉글리쉬 2,어휘(문법),10,25,0.4,2022,5,민간위탁사이버교육
Guess The Word 왓츠 댓 잉글리쉬 1,어휘(문법),9,25,0.36,2024,3,민간위탁사이버교육
Guess The Word 왓츠 댓 잉글리쉬 2,어휘(문법),9,25,0.36,2024,3,민간위탁사이버교육
[온캠] 한번에 끝내는 산림(산업)기사 필기 2과목_산림보호학,산림기사/산림산업기사,13,25,0.52,2024,4,민간위탁사이버교육
[온캠] 한번에 끝내는 산림(산업)기사 필기 4과목_임도공학(산림공학),산림기사,14,25,0.56,2024,4,민간위탁사이버교육
케이티의 한풀이 잉글리쉬 시즌2-1,문법(어휘),10,25,0.4,2022,11,민간위탁사이버교육
케이티의 한풀이 잉글리쉬 시즌2-2,문법(어휘),10,25,0.4,2022,11,민간위탁사이버교육
임수진의 한풀이 잉글리쉬 1,말하기(회화),10,25,0.4,2022,5,민간위탁사이버교육
임수진의 한풀이 잉글리쉬 2,말하기(회화),10,25,0.4,2022,5,민간위탁사이버교육
임수진의 한풀이 잉글리쉬 시즌2-1,말하기(회화),10,25,0.4,2022,11,민간위탁사이버교육
임수진의 한풀이 잉글리쉬 시즌2-2,말하기(회화),10,25,0.4,2022,11,민간위탁사이버교육
김일승의 영어 발음 연구소 1,말하기(회화),6,25,0.24,2023,7,민간위탁사이버교육
김일승의 영어 발음 연구소 2,말하기(회화),6,25,0.24,2023,7,민간위탁사이버교육
진짜 영어회화 Real Life Talk 2,말하기(회화),5,25,0.2,2024,1,민간위탁사이버교육
트렌디한 MZ 영어 GEN Z English 1,말하기(회화),5,25,0.2,2024,1,민간위탁사이버교육
트렌디한 MZ 영어 GEN Z English 2,말하기(회화),5,25,0.2,2024,1,민간위탁사이버교육
진짜 영어회화 Real Life Talk 1,말하기(회화),4,25,0.16,2024,1,민간위탁사이버교육
50 Days Travel Shorts 1,말하기(회화),3,25,0.12,2023,7,민간위탁사이버교육
50 Days Travel Shorts 2,말하기(회화),3,25,0.12,2023,7,민간위탁사이버교육
영어로 읽어주는 미술관 1,듣기(청취),6,25,0.24,2024,3,민간위탁사이버교육
영어로 읽어주는 미술관 2,듣기(청취),6,25,0.24,2024,3,민간위탁사이버교육
2025 EBS 공인중개사 2차 부동산세법 기본이론,공인중개사,23,25,0.92,2025,1,민간위탁사이버교육
2025 박문각 [공인중개사:2차] 부동산공시법 (기초이론),공인중개사,21,25,0.84,2025,1,민간위탁사이버교육
2025 박문각 [공인중개사:1차] 민법 및 민사특별법 (기초이론),공인중개사,20,25,0.8,2025,1,민간위탁사이버교육
속시원한 토익펀치 LC 1,TOEIC,12,25,0.48,2023,2,민간위탁사이버교육
속시원한 토익펀치 LC 2,TOEIC,12,25,0.48,2023,2,민간위탁사이버교육
속시원한 토익펀치 RC 1,TOEIC,12,25,0.48,2023,2,민간위탁사이버교육
속시원한 토익펀치 RC 2,TOEIC,12,25,0.48,2023,2,민간위탁사이버교육
NEW 통하다 톡하다 SJPT 심화(파트 1~4) 1,SJPT,4,25,0.16,2023,10,민간위탁사이버교육
[25년 업데이트] 20일 완성 新JLPT 상상 N3(문자어휘),JLPT,9,25,0.36,2024,6,민간위탁사이버교육
답이 바로 풀리는 퀵 JLPT N1 - 독해,JLPT,6,25,0.24,2022,9,민간위탁사이버교육
답이 바로 풀리는 퀵 HSK6급 기출문제풀이 독해. 쓰기편,HSK,15,25,0.6,2023,9,민간위탁사이버교육
왕리의 핵심 포인트 지존 HSK6급 기출문제풀이 독해. 쓰기.작문편,HSK,15,25,0.6,2022,1,민간위탁사이버교육
이명진의 자존감UP HSK4급 비법노트,HSK,5,25,0.2,2022,1,민간위탁사이버교육
답이 바로 보이는 퀵 HSK4급 비법노트,HSK,3,25,0.12,2023,9,민간위탁사이버교육
OMG(Oh! My G-telp)-영역별 기출 유형 1,G-telp,11,25,0.44,2023,2,민간위탁사이버교육
OMG(Oh! My G-telp)-영역별 기출 유형 2,G-telp,11,25,0.44,2023,2,민간위탁사이버교육
진짜 나를 세우는 코칭스킬,코칭,11,24,0.458333333,2023,5,민간위탁사이버교육
슬기로운 직장생활을 만드는 회사생활 에티켓,직장생활,4,24,0.166666667,2023,12,민간위탁사이버교육
"[HR전문가] 직무분석, 성과관리, 임금관리",인사관리,13,24,0.541666667,2024,2,민간위탁사이버교육
[온캠] 한번에 끝내는 산림(산업)기사 필기 3과목_임업경영학,산림기사/산림산업기사,11,24,0.458333333,2024,4,민간위탁사이버교육
