교육과정,기수,분류,교육시작일,교육종료일,교육장소,교육인원,전반만족도,역량향상도,현업적용도,교과편만족도,강의만족도,종합만족도,순위
소통과 공감 과정,4,기본(기본),2024-07-18,2024-07-19,현장캠퍼스,11,5,5,5,5,5,4.97,1
소통과 공감 과정,6,기본(기본),2024-08-29,2024-08-30,현장캠퍼스,16,4.94,4.94,4.94,5,4.93,4.959,2
소통과 공감 과정,10,기본(기본),2024-11-28,2024-11-29,현장캠퍼스,17,4.94,4.82,4.88,4.76,4.92,4.914,3
승마 과정,2,직무(인문·소양),2024-11-06,2024-11-08,현장캠퍼스,20,4.83,4.83,4.72,4.83,4.89,4.882,4
면접관 양성 과정,1,직무(공통),2024-07-03,2024-07-05,인재개발원,12,4.91,4.82,4.73,5,4.98,4.874,5
소통과 공감 과정,1,기본(기본),2024-03-21,2024-03-22,현장캠퍼스,13,4.92,4.85,4.85,4.85,4.84,4.849,6
강사양성 과정,1,직무(공통),2024-04-24,2024-04-26,인재개발원,8,5,5,4.88,5,4.99,4.846,7
코칭 리더십 과정,1,기본(리더십),2024-06-19,2024-06-20,현장캠퍼스,10,4.9,4.9,4.9,4.9,4.9,4.842,8
드론 이해 및 행정 활용 과정,2,핵심(디지털),2024-05-29,2024-05-31,현장캠퍼스,17,4.88,4.88,4.76,4.88,4.86,4.823,9
소통과 공감 과정,2,기본(기본),2024-04-25,2024-04-26,현장캠퍼스,18,4.72,4.72,4.78,4.78,4.93,4.813,10
1인 방송과 영상제작 과정,2,핵심(디지털),2024-11-20,2024-11-22,인재개발원,27,4.92,4.85,4.65,4.77,4.92,4.812,11
지리산 천왕봉 힐링 과정,1,직무(인문·소양),2024-05-08,2024-05-10,현장캠퍼스,36,4.86,4.77,4.71,4.8,4.75,4.806,12
업무용 오피스 활용 과정,1,핵심(디지털),2024-03-13,2024-03-15,인재개발원,28,4.86,4.79,4.82,4.75,4.95,4.804,13
한글 활용 과정,1,핵심(디지털),2024-04-12,2024-04-12,인재개발원,29,4.86,4.75,4.75,4.82,4.91,4.804,14
자치경찰제도 이해 과정,1,직무(전문),2024-04-05,2024-04-05,현장캠퍼스,17,4.94,4.94,4.81,4.88,4.8,4.802,15
소통과 공감 과정,9,기본(기본),2024-10-31,2024-11-01,현장캠퍼스,17,4.82,4.59,4.76,4.82,4.94,4.797,16
과장급 필수 역량향상 과정,2,기본(리더십),2024-07-09,2024-07-12,인재개발원,11,4.64,4.91,4.91,4.91,4.77,4.795,17
