교과목(강의),교육과정,기수,교육시작일,교육종료일,강의만족도,순위
생성형 AI의 개요,교육담당자 역량향상 과정,1,2024-02-09,2024-02-10,4.9167,57
2024년 HRD 트렌드 공유 및 토론,교육담당자 역량향상 과정,1,2024-02-09,2024-02-10,4.9125,76
2024년 교육훈련 및 교육운영 업무 안내,교육담당자 역량향상 과정,1,2024-02-09,2024-02-10,4.875,125
교육운영 실무 사례 공유,교육담당자 역량향상 과정,1,2024-02-09,2024-02-10,4.86,147
생성형 AI를 이용한 데이터 정리,교육담당자 역량향상 과정,1,2024-02-09,2024-02-10,4.7778,275
소통을 위한 대화기술 공감기법,교육담당자 역량향상 과정,1,2024-02-09,2024-02-10,4.6389,625
통합교육관리시스템 사용 안내,교육담당자 역량향상 과정,1,2024-02-09,2024-02-10,4.6,792
2025년 HRD 트렌드 공유,교육담당자 역량향상 과정,1,2024-02-09,2024-02-10,4.5556,830
교육훈련 업무프로세스 공유 및 토론,교육담당자 역량향상 과정,1,2024-02-09,2024-02-10,4.375,1039
차세대 인사랑 교육훈련 기능안내,교육담당자 역량향상 과정,1,2024-02-09,2024-02-10,4.25,1115
중국어,중견리더 과정,21,2024-02-19,2024-12-13,5,1
중국어,중견리더 과정,21,2024-02-19,2024-12-13,5,1
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.92,66
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.92,66
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.915,69
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.91,79
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.9,83
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.8975,95
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.8975,95
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.895,97
형법 총칙개요,특별사법경찰 수사실무 과정,1,2024-02-19,2024-02-21,4.88,115
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.88,115
특별사법경찰 수사실무 우수사례,특별사법경찰 수사실무 과정,1,2024-02-19,2024-02-21,4.8525,154
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.8525,154
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.8525,154
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.85,157
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.8475,170
한자,중견리더 과정,21,2024-02-19,2024-12-13,4.845,172
형사소송법,특별사법경찰 수사실무 과정,1,2024-02-19,2024-02-21,4.84,176
명품바디만들기,중견리더 과정,21,2024-02-19,2024-12-13,4.84,176
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.8325,183
행정학,중견리더 과정,21,2024-02-19,2024-12-13,4.8325,183
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.825,195
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.825,195
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.825,195
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.825,195
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.8225,202
영어B,중견리더 과정,21,2024-02-19,2024-12-13,4.82,206
일본어B,중견리더 과정,21,2024-02-19,2024-12-13,4.82,206
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.82,206
특별사법 경찰제도 이해,특별사법경찰 수사실무 과정,1,2024-02-19,2024-02-21,4.815,215
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.81,217
4대 폭력예방,중견리더 과정,21,2024-02-19,2024-12-13,4.81,219
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.81,219
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.8075,225
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.7975,246
행정학,중견리더 과정,21,2024-02-19,2024-12-13,4.795,248
분임연구지도,중견리더 과정,21,2024-02-19,2024-12-13,4.7925,251
수사인권 및 수사서류 작성 실무 사례,특별사법경찰 수사실무 과정,1,2024-02-19,2024-02-21,4.79,253
사진,중견리더 과정,21,2024-02-19,2024-12-13,4.79,253
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.79,253
일본어B,중견리더 과정,21,2024-02-19,2024-12-13,4.79,253
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.785,265
행정학,중견리더 과정,21,2024-02-19,2024-12-13,4.785,265
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.7825,272
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.7825,272
