교육주차,기수,교육과정,교육기간,교육시작일,교육종료일,인원
2월 2주차 (2.10.~2.14.),1,교육담당자 역량향상 과정,2일,2025-02-13,2025-02-14,20
2월 3주차 (2.17.~2.21.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
2월 3주차 (2.17.~2.21.),1,보조금 단체 회계실무 과정,1일,2025-02-19,2025-02-19,30
2월 3주차 (2.17.~2.21.),1,특별사법경찰 수사실무 과정,3일,2025-02-19,2025-02-21,20
2월 4주차 (2.24.~2.28.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
2월 4주차 (2.24.~2.28.),1,식품 위생감시원 직무 교육 과정,1일,2025-02-25,2025-02-25,30
2월 4주차 (2.24.~2.28.),1,과장급 필수 역량향상 과정,4일,2025-02-25,2025-02-28,20
2월 4주차 (2.24.~2.28.),1,7·8급 승진자 역량향상 과정,4일,2025-02-25,2025-02-28,30
2월 4주차 (2.24.~2.28.),1,예산회계실무 과정,3일,2025-02-26,2025-02-28,30
2월 4주차 (2.24.~2.28.),1,지방 소득세 실무 과정,3일,2025-02-26,2025-02-28,20
3월 1주차 (3.3.~3.7.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
3월 1주차 (3.3.~3.7.),1,신규임용(후보)자 과정,3주,2025-03-04,2025-03-21,90
3월 1주차 (3.3.~3.7.),2,보조금 단체 회계실무 과정,1일,2025-03-05,2025-03-05,30
3월 1주차 (3.3.~3.7.),1,전입공무원 역량 향상 과정,3일,2025-03-05,2025-03-07,30
3월 1주차 (3.3.~3.7.),1,계약실무 과정,2일,2025-03-06,2025-03-07,20
3월 1주차 (3.3.~3.7.),1,한글 활용 과정,1일,2025-03-07,2025-03-07,30
3월 2주차 (3.10.~3.14.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
3월 2주차 (3.10.~3.14.),1,신규임용(후보)자 과정,3주,2025-03-04,2025-03-21,90
3월 2주차 (3.10.~3.14.),2,계약실무 과정,2일,2025-03-11,2025-03-12,20
3월 2주차 (3.10.~3.14.),1,승마 과정,3일,2025-03-11,2025-03-13,20
3월 2주차 (3.10.~3.14.),1,기간제 근로자 관리자 과정,3일,2025-03-12,2025-03-14,20
3월 2주차 (3.10.~3.14.),1,생성형 AI실습 과정,3일,2025-03-12,2025-03-14,30
3월 2주차 (3.10.~3.14.),1,신규공무원 역량향상 심화 과정,3일,2025-03-12,2025-03-14,40
3월 2주차 (3.10.~3.14.),1,보조금 담당자 실무 과정(★),2일,2025-03-13,2025-03-14,30
3월 2주차 (3.10.~3.14.),1,"세대와 마음을 잇는 소통 ON, 공감 UP",2일,2025-03-13,2025-03-14,20
3월 3주차 (3.17.~3.21.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
3월 3주차 (3.17.~3.21.),1,신규임용(후보)자 과정,3주,2025-03-04,2025-03-21,90
3월 3주차 (3.17.~3.21.),1,토목실무 과정,3일,2025-03-19,2025-03-21,30
3월 3주차 (3.17.~3.21.),1,인생 2모작 준비 과정,3일,2025-03-19,2025-03-21,30
3월 3주차 (3.17.~3.21.),1,업무용 오피스 활용 과정,3일,2025-03-19,2025-03-21,30
3월 3주차 (3.17.~3.21.),1,경남의 교통과 미래항공 모빌리티(AAM) 산업 과정,2일,2025-03-20,2025-03-21,20
3월 4주차 (3.24.~3.28.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
3월 4주차 (3.24.~3.28.),1,6급 승진자 역량향상 과정,4일,2025-03-25,2025-03-28,20
3월 4주차 (3.24.~3.28.),1,기획능력 향상 과정,3일,2025-03-26,2025-03-26,30
3월 4주차 (3.24.~3.28.),1,5급 관리자 리더십 과정,3일,2025-03-26,2025-03-28,20
3월 4주차 (3.24.~3.28.),1,재난관리 실무 과정,3일,2025-03-26,2025-03-28,40
3월 4주차 (3.24.~3.28.),1,지방의회 공무원 실무역량 향상 과정,3일,2025-03-26,2025-03-28,30
3월 4주차 (3.24.~3.28.),1,[교류]문화유산 이해 과정,3일,2025-03-26,2025-03-28,30
3월 4주차 (3.24.~3.28.),2,"세대와 마음을 잇는 소통 ON, 공감 UP",2일,2025-03-27,2025-03-28,20
4월 1주차 (3.31.~4.4.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
4월 1주차 (3.31.~4.4.),2,신규임용(후보)자 과정,3주,2025-03-31,2025-04-18,90
4월 1주차 (3.31.~4.4.),1,엑셀 활용 과정,1일,2025-04-01,2025-04-01,30
4월 1주차 (3.31.~4.4.),3,보조금 단체 회계실무 과정,1일,2025-04-01,2025-04-01,30
4월 1주차 (3.31.~4.4.),2,신규공무원 역량향상 심화 과정,3일,2025-04-02,2025-04-04,40
4월 1주차 (3.31.~4.4.),1,건축 실무 과정(★),3일,2025-04-02,2025-04-04,30
4월 1주차 (3.31.~4.4.),1,가야사 바로알기,3일,2025-04-02,2025-04-04,30
4월 1주차 (3.31.~4.4.),1,시·군 팀장 리더십 과정,3일,2025-04-02,2025-04-04,20
4월 1주차 (3.31.~4.4.),1,행사실무 과정,2일,2025-04-03,2025-04-04,20
4월 2주차 (4.7.~4.11.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
4월 2주차 (4.7.~4.11.),2,신규임용(후보)자 과정,3주,2025-03-31,2025-04-18,90
4월 2주차 (4.7.~4.11.),1,항노화산업 탐방 과정,3일,2025-04-09,2025-04-11,30
4월 2주차 (4.7.~4.11.),1,스마트기기 활용 과정,3일,2025-04-09,2025-04-11,30
4월 2주차 (4.7.~4.11.),1,소통의 고수! 민원응대 스킬업 과정(★),2일,2025-04-10,2025-04-11,30
4월 2주차 (4.7.~4.11.),1,성별영향평가 과정,1일,2025-04-11,2025-04-11,20
4월 3주차 (4.14.~4.18.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
4월 3주차 (4.14.~4.18.),2,신규임용(후보)자 과정,3주,2025-03-31,2025-04-18,90
4월 3주차 (4.14.~4.18.),1,경남의 섬 과정,4일,2025-04-15,2025-04-18,30
4월 3주차 (4.14.~4.18.),1,승강기 업무담당자 안전관리 과정,3일,2025-04-16,2025-04-18,20
4월 3주차 (4.14.~4.18.),2,시·군 팀장 리더십 과정,3일,2025-04-16,2025-04-18,20
4월 3주차 (4.14.~4.18.),1,다문화와 사회통합 교육과정(★),2일,2025-04-17,2025-04-18,20
4월 3주차 (4.14.~4.18.),1,디자인 플랫폼 활용 과정,1일,2025-04-18,2025-04-18,30
4월 4주차 (4.21.~4.25.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
4월 4주차 (4.21.~4.25.),1,미래설계 과정,2주,2025-04-21,2025-05-02,50
4월 4주차 (4.21.~4.25.),3,신규공무원 역량향상 심화 과정,3일,2025-04-23,2025-04-25,40
4월 4주차 (4.21.~4.25.),1,저수지·댐 안전관리 과정,3일,2025-04-23,2025-04-25,30
4월 4주차 (4.21.~4.25.),1,지역특화 관광 콘텐츠개발 과정,3일,2025-04-23,2025-04-25,20
4월 4주차 (4.21.~4.25.),1,1인 방송과 영상제작 과정,3일,2025-04-23,2025-04-25,30
4월 4주차 (4.21.~4.25.),2,[교류]문화유산 이해 과정,3일,2025-04-23,2025-04-25,30
4월 4주차 (4.21.~4.25.),3,시·군 팀장 리더십 과정,3일,2025-04-23,2025-04-25,20
5월 1주차 (4.28.~5.2.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
5월 1주차 (4.28.~5.2.),1,미래설계 과정,2주,2025-04-21,2025-05-02,50
5월 1주차 (4.28.~5.2.),2,7·8급 승진자 역량향상 과정,4일,2025-04-29,2025-05-02,30
5월 1주차 (4.28.~5.2.),1,명품 스피치 과정,3일,2025-04-30,2025-05-02,20
5월 1주차 (4.28.~5.2.),2,5급 관리자 리더십 과정,3일,2025-04-03,2025-05-02,20
5월 1주차 (4.28.~5.2.),2,엑셀 활용 과정,1일,2025-05-02,2025-05-02,30
5월 2주차 (5.5.~5.9.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
5월 2주차 (5.5.~5.9.),1,지리산 천왕봉 힐링 과정,3일,2025-05-07,2025-05-09,40
5월 2주차 (5.5.~5.9.),1,재난안전 관리자 과정,1일,2025-05-08,2025-05-08,30
5월 2주차 (5.5.~5.9.),1,코칭 리더십 과정,2일,2025-05-08,2025-05-09,15
5월 2주차 (5.5.~5.9.),3,"세대와 마음을 잇는 소통 ON, 공감 UP",2일,2025-05-08,2025-05-09,20
5월 2주차 (5.5.~5.9.),1,공직자 이해충돌 방지 과정,1일,2025-05-09,2025-05-09,30
